Zipmex market cap
| instrument | last_price | lowest_24hr | highest_24hr |
| ---------- | ---------- | ----------- | ------------ |
| USD_BTC    | 45092.19   | 44866.6     | 45363.26     |
| USD_ETH    | 3296.93    | 3273.78     | 3332.3       |
| IDR_BTC    | 645920085  | 643107126   | 654113905    |
| IDR_ETH    | 47159470   | 46967508    | 48170496     |
| USD_XRP    | 1.07105    | 1.06135     | 1.07658      |
| USD_LTC    | 177.56     | 176.34      | 182.513      |
| AUD_BTC    | 61278.996  | 60839.303   | 61552.079    |
| AUD_ETH    | 4471.77    | 4441.967    | 4525.454     |
| AUD_XRP    | 1.45316    | 1.44378     | 1.46143      |
| AUD_LTC    | 240.717    | 239.486     | 246.855      |
| IDR_XRP    | 15324.3    | 15241.1     | 15525.3      |
| IDR_LTC    | 2543022    | 2521562     | 2632039      |
| THB_BTC    | 1501288.77 | 1497000.01  | 1518563.77   |
| THB_ETH    | 109996.99  | 109388.94   | 111530.54    |
| THB_XRP    | 35.6       | 35.48       | 36.04701     |
| THB_LTC    | 6048.998   | 5870.661    | 6193.998     |
| SGD_BTC    | 60551.93   | 60135.63    | 60801.34     |
| SGD_ETH    | 4422.22    | 4409.07     | 4476.54      |
| SGD_XRP    | 1.43672    | 1.42433     | 1.44541      |
| SGD_LTC    | 238.151    | 236.698     | 243.706      |
| USD_BCH    | 615.89     | 610.3       | 618.58       |
| AUD_BCH    | 836.31     | 827.98      | 838.82       |
| IDR_BCH    | 8823461    | 8758321     | 8911401      |
| THB_BCH    | 20442.31   | 20320.01    | 20846.9      |
| USD_GOLD   | 57.87      | 0           | 0            |
| IDR_AAPL   | 2133213    | 2127139     | 2168669      |
| IDR_GOOGL  | 40584224   | 40474178    | 41322105     |
| IDR_AMZN   | 49345950   | 49205466    | 50175086     |
| IDR_FB     | 5376685    | 5361378     | 5458445      |
| SGD_BCH    | 826.85     | 819.41      | 830.39       |
| IDR_NFLX   | 8473170    | 8393705     | 8540024      |
| IDR_IDRT   | 1.0013     | 0           | 0            |
| TST2_TST1  | 296622.83  | 0           | 0            |
| IDR_USDT   | 14301      | 14266       | 14445        |
| THB_USDT   | 33.2865    | 33.26       | 33.4946      |
| USD_USDT   | 1.0006     | 1.0006      | 1.0009       |
| USDT_BTC   | 45089      | 44765       | 45302        |
| USDT_ETH   | 3285.56    | 3269.98     | 3326.7       |
| USDT_XRP   | 1.06884    | 1.06027     | 1.07312      |
| USDT_LTC   | 176.785    | 176.515     | 180.996      |
| USDT_BCH   | 615.49     | 610.57      | 617.29       |
| SGD_USDT   | 1.3445     | 1.3411      | 1.3447       |
| AUD_USDT   | 1.3565     | 1.3559      | 1.36         |
